HUC,Land Use,Runoff,Effluent Volume,Volume Reduction,Untreated Volume,TSS Load,TP Load,NO3 Load,NH3 Load,PB Load,CU Load,ZN Load,BOD Load,E.COLI Load,GLYPHOSATE Load,"2,4-D Load",CARBARYL Load,OIL&GREASE Load
101,FOR,75646044.49515961,0.0,0.0,75646044.49515961,311681.95525419153,75.55926187980401,108.61643895221826,9.444907734975502,63.28088182433586,40.14085787364589,236.12269337438752,22039.692199565332,4722453.86748775,0.0,0.0,0.0,13629.001861569648
101,TRA,131218.24903110001,0.0,0.0,131218.24903110001,1236.3214070743547,2.8449202814433097,12.533350046110561,14.045407252101928,0.4538849667209672,0.2621354258010052,1.7317321566978907,121.75892644312195,49166.775801801035,0.0,0.0,0.0,79.16191978322556
102,FOR,71447731.98856525,0.0,0.0,71447731.98856525,294383.7837561804,71.36576575907402,102.5882882786689,8.920720719884253,59.768828823224496,37.913063059508076,223.01801799710634,20816.501799849902,4460360.359942126,0.0,0.0,0.0,12872.599998792979
102,OPS,8655568.064874059,0.0,0.0,8655568.064874059,28584.64139342059,94.56166812568249,216.1409557158457,398.5098871010905,1.4169239229477908,2.2694800350163797,13.448770637913999,2521.6444835316506,540352.3892896142,0.0,0.0,0.0,450.2936575612277
102,TRA,318633.77798009996,0.0,0.0,318633.77798009996,3002.1263325988184,6.908244120172984,30.434399981916826,34.10608820839875,1.1021567715051328,0.6365364702100251,4.205119056324979,295.66395697124335,119390.37169376783,0.0,0.0,0.0,192.2267806416813
103,FOR,133693481.94315962,0.0,0.0,133693481.94315962,550852.9379807994,133.54010617716347,191.96390262967248,16.692513272145433,111.83983892337442,70.94318140661811,417.31283180363585,38951.97972055137,8346256.636072717,0.0,0.0,0.0,24087.296651705863
103,OPS,1549509.3097440004,0.0,0.0,1549509.3097440004,5117.187875229699,16.9283152772249,38.69329206222835,71.34075723973352,0.25365600424500134,0.40627956665339765,2.407582627953456,451.42174075824187,96733.23015557087,0.0,0.0,0.0,80.61102509739798
103,TRA,729258.29732547,0.0,0.0,729258.29732547,6870.977557827234,15.810923677089495,69.65532295926619,78.05872928149677,2.522510248815392,1.456843356010796,9.624271420646322,676.6871836633278,273249.18196177494,0.0,0.0,0.0,439.95013849367893
104,FOR,118245981.73339377,0.0,0.0,118245981.73339377,487205.10151689226,118.11032764045875,169.78359598315942,14.763790955057344,98.91739939888419,62.746111558993704,369.0947738764336,34451.306193626304,7381895.47752867,0.0,0.0,0.0,21304.15034814774
104,TRA,1563.53851632,0.0,0.0,1563.53851632,14.731458107275483,0.03389880956910419,0.14934184597273795,0.16735884968909132,0.005408292159718239,0.0031234895889722973,0.02063455309714824,1.4508254195228152,585.8495160316165,0.0,0.0,0.0,0.9432583617052533
105,FOR,71340386.6075472,0.0,0.0,71340386.6075472,293941.4920479159,71.25854352676748,102.43415631972826,8.907317940845935,59.67903020366777,37.85610124859523,222.6829485211484,20785.226414963992,4453658.970422968,0.0,0.0,0.0,12853.259788640687
105,TRA,218151.47353576502,0.0,0.0,218151.47353576502,2055.3950285768415,4.72970456526628,20.83680281582284,23.350610994128957,0.7545876814927088,0.43580241183420315,2.879019683179705,202.42526794732987,81740.18986965272,0.0,0.0,0.0,131.6073760787472
106,FOR,103629696.79488029,0.0,0.0,103629696.79488029,426982.0945032238,103.51081078866032,148.79679050869922,12.93885134858254,86.69030403550302,54.9901182314758,323.47128371456347,30192.809621917357,6469425.67429127,0.0,0.0,0.0,18670.762496004605
106,TRA,332179.48247715,0.0,0.0,332179.48247715,3129.752212133586,7.201926208866013,31.728221971893724,35.5560003782571,1.1490114710629544,0.6635967994121563,4.383886356116558,308.23317237881724,124465.87468974257,0.0,0.0,0.0,200.3986925572915
107,FOR,124583513.43677911,0.0,0.0,124583513.43677911,513317.4288167415,124.44058880405858,178.88334640583417,15.555073600507322,104.21899312339904,66.10906280215612,388.876840012683,36297.76424678383,7777536.80025366,0.0,0.0,0.0,22445.971205532063
107,TRA,791365.8826695599,0.0,0.0,791365.8826695599,7456.1472112067495,17.15746754946654,75.58754742791973,84.70663333480927,2.737340880340894,1.5809160246362295,10.443926487753092,734.3175283090536,296520.56187083275,0.0,0.0,0.0,477.4186745032809
201,FOR,98043747.28508252,0.0,0.0,98043747.28508252,403966.48705429275,97.93126958891946,140.77620003407173,12.241408698614933,82.01743828072006,52.02598696911347,306.03521746537336,28565.327198217947,6120704.349307466,0.0,0.0,0.0,17664.35275210135
201,TRA,501752.1032188499,0.0,0.0,501752.1032188499,4727.4435593712415,10.878401024584809,47.92500122847681,53.70680283683062,1.7355645144882776,1.0023529668701032,6.62179428738562,465.58156262263566,188003.82834857373,0.0,0.0,0.0,302.69920563153806
202,FOR,109656974.39040959,0.0,0.0,109656974.39040959,451816.09181757853,109.53117377395846,157.45106230006525,13.691396721744807,91.7323580356902,58.188436067415424,342.28491804362017,31948.8742501915,6845698.360872403,0.0,0.0,0.0,19756.685469477754
202,TRA,421842.19182600005,0.0,0.0,421842.19182600005,3974.5426875650655,9.145887983994129,40.292382297531525,45.153364140007724,1.459155495612993,0.8427164924973914,5.567195828560893,391.4322343454967,158062.012124042,0.0,0.0,0.0,254.4908044200102
203,FOR,135181210.3395468,0.0,0.0,135181210.3395468,556982.7772680712,135.0261278225627,194.10005874493385,16.878265977820337,113.08438205139625,71.73263040573643,421.9566494455084,39385.43365924375,8439132.988910168,0.0,0.0,0.0,24355.337805994746
203,TRA,776736.9941839201,0.0,0.0,776736.9941839201,7318.315711929438,16.840301135076224,74.19026479741773,83.1407787532739,2.686739438754094,1.5516918127564496,10.250864038022293,720.7432139875335,291039.1956301315,0.0,0.0,0.0,468.59329460857197
204,FOR,105370930.58031538,0.0,0.0,105370930.58031538,434156.44386175234,105.25004699678846,151.29694255788337,13.156255874598557,88.14691435981032,55.91408746704386,328.9063968649639,30700.123083375725,6578127.937299278,0.0,0.0,0.0,18984.477227045718
204,TRA,498282.59232873004,0.0,0.0,498282.59232873004,4694.754275546732,10.803179155897542,47.59360986488409,53.33543152394421,1.7235634487331106,0.9954219056707783,6.57600596433758,462.3621634583959,186703.82118237537,0.0,0.0,0.0,300.60610391132224
205,FOR,169199268.98517722,0.0,0.0,169199268.98517722,697146.2861915323,169.00516028885627,242.94491791523092,21.125645036107034,141.54182174191715,89.7839914034549,528.141125902676,49296.692691755765,10562822.51805352,0.0,0.0,0.0,30484.305787102458
205,TRA,1168800.53436003,0.0,0.0,1168800.53436003,11012.28778694317,25.34056329599807,111.63833033424623,125.10668007519405,4.042890341538675,2.334919327252209,15.425060805659905,1084.543494069146,437943.3063177424,0.0,0.0,0.0,705.1191036825269
301,FOR,82476377.1131322,0.0,0.0,82476377.1131322,339824.7542546389,82.38175860718519,118.4237779978287,10.297719825898149,68.9947228335176,43.76530926006714,257.44299564745376,24029.729213733328,5148859.912949074,0.0,0.0,0.0,14859.60970877103
301,TRA,319623.02645855997,0.0,0.0,319623.02645855997,3011.4469040884283,6.929691846236534,30.528888344280077,34.2119759020396,1.1055785898576866,0.6385126973967075,4.218174507176999,296.58189204210555,119761.03780546995,0.0,0.0,0.0,192.8235787949547
302,FOR,121334287.2364656,0.0,0.0,121334287.2364656,499929.74698968104,121.19509017931661,174.2179421327676,15.149386272414576,101.50088802517766,64.38489165776195,378.7346568103644,35351.09286667941,7574693.136207288,0.0,0.0,0.0,21860.564391094234
302,OPS,148887.9491748,0.0,0.0,148887.9491748,491.6960508039647,1.6265937408448732,3.717928550502568,6.854930764989111,0.02437308509888986,0.03903824978027696,0.23133777750847326,43.375833092294904,9294.82137625642,0.0,0.0,0.0,7.745684477115409
302,TRA,744691.78793262,0.0,0.0,744691.78793262,7016.389914449811,16.145534531646316,71.12945740048194,79.71070728379074,2.5758948155379238,1.4876749260231517,9.827952480040446,691.0080975718132,279032.0283122174,0.0,0.0,0.0,449.26092227901063
303,FOR,61339071.0235248,0.0,0.0,61339071.0235248,252733.3942928273,61.26870164674601,88.07375861719738,7.658587705843251,51.31253762914979,32.54899774983382,191.46469264608132,17871.314411585226,3829293.8529216256,0.0,0.0,0.0,11051.342059531811
303,TRA,396870.853478715,0.0,0.0,396870.853478715,3739.26596050915,8.604488693548355,37.90723749536145,42.48046902589503,1.372779437721463,0.7928311110140956,5.237640527136868,368.2610415315096,148705.3852595813,0.0,0.0,0.0,239.425986090823
304,FOR,83325741.60248251,0.0,0.0,83325741.60248251,343324.3633423438,83.23014868905304,119.64333874051373,10.40376858613163,69.70524952708192,44.216016491059435,260.09421465329075,24277.193995738155,5201884.293065815,0.0,0.0,0.0,15012.638069787943
304,TRA,536497.9524052502,0.0,0.0,536497.9524052502,5054.81446603486,11.63171980285118,51.24376133782186,57.42594713075761,1.8557506830898964,1.0717649430132676,7.080347154781399,497.82263676079157,201022.91212392598,0.0,0.0,0.0,323.66083365510633
305,FOR,129149309.1110508,0.0,0.0,129149309.1110508,532129.729348056,129.00114650861963,185.43914810614072,16.125143313577453,108.03846020096896,68.53185908270419,403.12858283943643,37628.02192223299,8062571.656788727,0.0,0.0,0.0,23268.581801492266
305,TRA,880767.4753772401,0.0,0.0,880767.4753772401,8298.477479345374,19.09576809962197,84.12676711998854,94.27604755758482,3.0465817003529754,1.7595140835553162,11.623789914487308,817.2742971332773,330018.860296844,0.0,0.0,0.0,531.3532587754777
306,FOR,104122554.04634158,0.0,0.0,104122554.04634158,429012.79832682543,104.00310262468497,149.50446002298463,13.000387828085621,87.10259844817367,55.25164826936389,325.00969570214056,30336.404996837795,6500193.91404281,0.0,0.0,0.0,18759.55963592755
306,TRA,1575627.570599786,0.0,0.0,1575627.570599786,14845.359616461457,34.16091027505006,150.49653558438698,168.65284417466103,5.450108294592651,3.147639959934892,20.794096485319876,1462.0429923961624,590379.2199852881,0.0,0.0,0.0,950.5514993001976
401,FOR,240622235.6003301,0.0,0.0,240622235.6003301,991428.0299790761,240.3461890858366,345.49764681089016,30.043273635729577,201.28993335938816,127.68391295185071,751.0818408932395,70105.97902897497,15021636.817864789,0.0,0.0,0.0,43352.44385635778
401,TRA,3036727.544320112,0.0,0.0,3036727.544320112,28611.65499629147,65.83876742636794,290.0539337223514,325.04682381139236,10.504064720965006,6.066487502689703,40.076733064643854,2817.8145069520083,1137845.5622232372,0.0,0.0,0.0,1832.0102885232425
402,FOR,194964780.1815945,0.0,0.0,194964780.1815945,803307.0902549485,194.7411127890784,279.94034963430016,24.3426390986348,163.09568196085317,103.4562161691979,608.56597746587,56803.5483366643,12171319.549317399,0.0,0.0,0.0,35126.42821933002
