HUC,Runoff,TSS Attenuated Load,TP Attenuated Load,NO3 Attenuated Load,NH3 Attenuated Load,PB Attenuated Load,CU Attenuated Load,ZN Attenuated Load,BOD Attenuated Load,E.COLI Attenuated Load,GLYPHOSATE Attenuated Load,"2,4-D Attenuated Load",CARBARYL Attenuated Load,OIL&GREASE Attenuated Load
101,75777262.74419071,81045.83365526787,37.73593287420833,58.30939344489566,11.305888603280366,33.036916366144304,20.942891576768297,184.97938673552514,17234.96054069678,3710889.374286284,0.0,0.0,0.0,5074.076823667766
102,80421933.83141941,84426.37283388975,83.18581182377255,168.0524618458564,212.51161179893745,32.28693789848809,21.158569892380115,187.17054261155928,18380.01422392237,3981904.197143768,0.0,0.0,0.0,5002.621829754028
103,135972249.5502291,145775.8457841888,80.03024881178028,144.54041474550667,79.94007950055172,59.41120628320498,37.73914784908348,333.90136218728367,31170.284939195455,6778619.107777412,0.0,0.0,0.0,9108.598570332162
104,118247545.27191009,126189.93674052489,56.8628161903984,81.7887229771613,7.186362401024458,51.27663736665261,32.52606598743283,287.0610531356461,26793.909133711943,5741355.728042665,0.0,0.0,0.0,7886.0803984494705
105,71558538.08108296,76663.19375281161,36.573143806695846,59.330312631940735,15.525741196403413,31.325765830772934,19.848608262383596,175.41954267250597,16322.096713800138,3527179.926959572,0.0,0.0,0.0,4806.348581020898
106,103961876.27735743,111398.96829927756,53.28604031690942,86.88668850690937,23.340572136127918,45.53150919282847,28.848103186260772,254.9729657639679,23720.660981124136,5128069.457642534,0.0,0.0,0.0,6985.160313946186
107,125374879.31944866,134880.3561912386,68.15114452295163,122.47684120218574,48.25595954796787,55.440815730838594,35.087100524867814,310.55176010738916,28799.84999648974,6279194.410524218,0.0,0.0,0.0,8485.092764095081
201,98545499.38830137,105851.72802893897,52.370094466279596,90.82188816766461,31.74087421200994,43.41336899889624,27.487240005817085,243.15335804012068,22577.337743305725,4906282.349763103,0.0,0.0,0.0,6650.504282154828
202,110078816.58223559,118049.7743368322,57.119269824102574,95.17391988482332,28.32198340276149,48.30582103895101,30.598797929430805,270.5245889583952,25151.056353024425,5446824.442079335,0.0,0.0,0.0,7407.136897783257
203,135957947.33373073,146153.9830818202,73.0933122573116,129.12813272093382,48.139166229075656,60.00996082441943,37.98692842195578,336.12778323614185,31190.57375431197,6789454.907916992,0.0,0.0,0.0,9188.578096888317
204,105869213.17264411,113662.46031756047,55.856417747287765,95.72602288107797,32.00244914491863,46.58436217205848,29.499044183346633,260.90466468034776,24235.064776462896,5261009.658571182,0.0,0.0,0.0,7138.373594953748
