HUC,Land Use,Runoff,Effluent Volume,Volume Reduction,Untreated Volume,TSS Attenuated Load,TP Attenuated Load,NO3 Attenuated Load,NH3 Attenuated Load,PB Attenuated Load,CU Attenuated Load,ZN Attenuated Load,BOD Attenuated Load,E.COLI Attenuated Load,GLYPHOSATE Attenuated Load,"2,4-D Attenuated Load",CARBARYL Attenuated Load,OIL&GREASE Attenuated Load
101,FOR,75646044.49515961,0.0,0.0,75646044.49515961,80725.62641083561,36.366672742749664,52.27709206770265,4.545834092843708,32.80164509364449,20.807013678804346,183.6326186372612,17140.26862360196,3672652.3727452233,0.0,0.0,0.0,5044.775039060005
101,TRA,131218.24903110001,0.0,0.0,131218.24903110001,320.2072444322579,1.3692601314586648,6.032301377193012,6.760054510436657,0.23527127249981333,0.13587789796395103,1.3467680982639496,94.69191709481595,38237.001541060665,0.0,0.0,0.0,29.30178460776094
102,FOR,71447731.98856525,0.0,0.0,71447731.98856525,76245.39999285073,34.34834305984232,49.375743148523334,4.29354288248029,30.981172420518416,19.65223623689601,173.44111259634963,16188.99344974327,3468822.2519269916,0.0,0.0,0.0,4764.792889553221
102,OPS,8655568.064874059,0.0,0.0,8655568.064874059,7403.4221208959325,45.51253086889098,104.02864198603653,191.80280866175482,0.7344625154599873,1.1763849761507403,10.459108925105717,1961.0829148425648,420232.05315053294,0.0,0.0,0.0,166.67619734628843
102,TRA,318633.77798009996,0.0,0.0,318633.77798009996,777.5507201430939,3.324937895039257,14.648076711296566,16.415260254702318,0.5713029625096856,0.3299486793333665,3.2703210901039363,229.93785933653598,92849.89206624325,0.0,0.0,0.0,71.15274285451832
103,FOR,133693481.94315962,0.0,0.0,133693481.94315962,142670.91093702705,64.27285310306877,92.39222633566135,8.034106637883596,57.97218050593113,36.773398082120494,324.5441892936876,30292.9546286728,6490883.785873752,0.0,0.0,0.0,8915.912855628925
103,OPS,1549509.3097440004,0.0,0.0,1549509.3097440004,1325.351659684492,8.147598142928343,18.623081469550502,34.33630645948374,0.13148258980039643,0.21059501337478867,1.8723770097594028,351.07068778768473,75229.43309198748,0.0,0.0,0.0,29.838170939801863
103,TRA,729258.29732547,0.0,0.0,729258.29732547,1779.5831874772537,7.609797565783173,33.52510694029481,37.56966640318439,1.3075431874734582,0.7551547535881961,7.484795883836645,526.2596227349701,212505.8888116724,0.0,0.0,0.0,162.84754376343525
104,FOR,118245981.73339377,0.0,0.0,118245981.73339377,126186.1212928751,56.84650069335279,81.71684474669462,7.105812586669098,51.273833978411616,32.524446926604384,287.04500564370244,26792.78082678318,5740900.112874047,0.0,0.0,0.0,7885.731251366886
104,TRA,1563.53851632,0.0,0.0,1563.53851632,3.81544764978435,0.016315497045609844,0.07187823046667877,0.08054981435535964,0.002803388240989949,0.0016190608284437902,0.016047491943652188,1.1283069287628935,455.6151686177882,0.0,0.0,0.0,0.3491470825851995
105,FOR,71340386.6075472,0.0,0.0,71340386.6075472,76130.84644041021,34.296736999433186,49.3015594366852,4.287092124929148,30.934625306071187,19.622710082209338,173.18052906489712,16164.670582917499,3463610.581297943,0.0,0.0,0.0,4757.63411076535
105,TRA,218151.47353576502,0.0,0.0,218151.47353576502,532.347312401402,2.2764068072626604,10.02875319525553,11.238649071474265,0.3911405247017456,0.2258981801742592,2.2390136076088565,157.42613088263846,63569.345661628926,0.0,0.0,0.0,48.71447025554827
106,FOR,103629696.79488029,0.0,0.0,103629696.79488029,110588.36247633497,49.81975323258221,71.61589527183692,6.227469154072776,44.93591909680299,28.50412778528548,251.56361734481604,23480.94804296513,5031272.346896321,0.0,0.0,0.0,6910.9827378961045
106,TRA,332179.48247715,0.0,0.0,332179.48247715,810.6058229425988,3.4662870843272118,15.270793235072448,17.113102982055143,0.5955900960254824,0.3439754009752912,3.4093484191518475,239.7129381590062,96797.11074621281,0.0,0.0,0.0,74.17757605008144
107,FOR,124583513.43677911,0.0,0.0,124583513.43677911,132949.21406353606,59.89325539139339,86.09655462512798,7.486656923924174,54.02191508551389,34.267632703497625,302.42951847786355,28228.771254723786,6048590.369557272,0.0,0.0,0.0,8308.376241727692
107,TRA,791365.8826695599,0.0,0.0,791365.8826695599,1931.1421277025481,8.257889131558244,36.38028657705776,40.769302624043696,1.4189006453247024,0.8194678213701895,8.12224162952558,571.078741765951,230604.04096694666,0.0,0.0,0.0,176.71652236738942
201,FOR,98043747.28508252,0.0,0.0,98043747.28508252,104627.32014706182,47.13432005314693,67.75558507639872,5.891790006643366,42.51373913281124,26.967670345439966,238.00358862282087,22215.2549620541,4760071.772456417,0.0,0.0,0.0,6538.460171190314
201,TRA,501752.1032188499,0.0,0.0,501752.1032188499,1224.4078818771516,5.235774413132668,23.066303091265887,25.849084205366573,0.8996298660849987,0.5195696603771179,5.1497694172997965,362.08278125162377,146210.5773066858,0.0,0.0,0.0,112.0441109645138
202,FOR,109656974.39040959,0.0,0.0,109656974.39040959,117020.36778075284,52.7173539374062,75.7811962850214,6.589669242175775,47.54946778780001,30.161975835544784,266.1949807625234,24846.639504373932,5323899.615250468,0.0,0.0,0.0,7312.93712652719
202,TRA,421842.19182600005,0.0,0.0,421842.19182600005,1029.406556079352,4.401915886696374,19.392723599801922,21.732314160585716,0.7563532511509949,0.43682209388602283,4.329608195871806,304.4168486504928,122924.82682886747,0.0,0.0,0.0,94.19977125606677
